date,value
06/26/2016,99
07/03/2016,85
07/10/2016,58
07/17/2016,62
07/24/2016,72
07/31/2016,64
08/07/2016,50
08/14/2016,55
08/21/2016,50
08/28/2016,56
09/04/2016,62
09/11/2016,44
09/18/2016,58
09/25/2016,57
10/02/2016,64
10/09/2016,52
10/16/2016,50
10/23/2016,47
10/30/2016,49
11/06/2016,51
11/13/2016,53
11/20/2016,53
11/27/2016,43
12/04/2016,39
12/11/2016,55
12/18/2016,51
12/25/2016,67
01/01/2017,82
01/08/2017,79
01/15/2017,82
01/22/2017,68
01/29/2017,65
02/05/2017,54
02/12/2017,66
02/19/2017,65
02/26/2017,59
03/05/2017,69
03/12/2017,51
03/19/2017,48
03/26/2017,63
04/02/2017,50
04/09/2017,55
04/16/2017,64
04/23/2017,51
04/30/2017,52
05/07/2017,52
05/14/2017,56
05/21/2017,50
05/28/2017,67
06/04/2017,60
06/11/2017,64
06/18/2017,65
06/25/2017,66
07/02/2017,58
07/09/2017,57
07/16/2017,62
07/23/2017,70
07/30/2017,66
08/06/2017,62
08/13/2017,61
08/20/2017,76
08/27/2017,67
09/03/2017,65
09/10/2017,60
09/17/2017,64
09/24/2017,63
10/01/2017,60
10/08/2017,67
10/15/2017,63
10/22/2017,65
10/29/2017,62
11/05/2017,56
11/12/2017,53
11/19/2017,61
11/26/2017,57
12/03/2017,48
12/10/2017,47
12/17/2017,51
12/24/2017,64
12/31/2017,68
01/07/2018,89
01/14/2018,68
01/21/2018,71
01/28/2018,64
02/04/2018,56
02/11/2018,66
02/18/2018,66
02/25/2018,62
03/04/2018,63
03/11/2018,48
03/18/2018,65
03/25/2018,65
04/01/2018,65
04/08/2018,45
04/15/2018,47
04/22/2018,56
04/29/2018,49
05/06/2018,47
05/13/2018,58
05/20/2018,56
05/27/2018,73
06/03/2018,65
06/10/2018,100
06/17/2018,95
06/24/2018,92
07/01/2018,59
07/08/2018,59
07/15/2018,74
07/22/2018,69
07/29/2018,70
08/05/2018,63
08/12/2018,56
08/19/2018,57
08/26/2018,65
09/02/2018,53
09/09/2018,53
09/16/2018,65
09/23/2018,57
09/30/2018,64
10/07/2018,52
10/14/2018,55
10/21/2018,52
10/28/2018,53
11/04/2018,53
11/11/2018,56
11/18/2018,47
11/25/2018,57
12/02/2018,46
12/09/2018,43
12/16/2018,50
12/23/2018,54
12/30/2018,67
01/06/2019,67
01/13/2019,69
01/20/2019,53
01/27/2019,51
02/03/2019,47
02/10/2019,43
02/17/2019,46
02/24/2019,51
03/03/2019,48
03/10/2019,62
03/17/2019,50
03/24/2019,89
03/31/2019,46
04/07/2019,52
04/14/2019,48
04/21/2019,40
04/28/2019,45
05/05/2019,45
05/12/2019,46
05/19/2019,47
05/26/2019,48
06/02/2019,50
06/09/2019,46
06/16/2019,47
06/23/2019,41
06/30/2019,51
07/07/2019,55
07/14/2019,46
07/21/2019,49
07/28/2019,51
08/04/2019,47
08/11/2019,47
08/18/2019,51
08/25/2019,47
09/01/2019,44
09/08/2019,47
09/15/2019,50
09/22/2019,42
09/29/2019,41
10/06/2019,57
10/13/2019,50
10/20/2019,48
10/27/2019,49
11/03/2019,46
11/10/2019,48
11/17/2019,43
11/24/2019,46
12/01/2019,42
12/08/2019,47
12/15/2019,44
12/22/2019,45
12/29/2019,49
01/05/2020,61
01/12/2020,50
01/19/2020,63
01/26/2020,48
02/02/2020,44
02/09/2020,46
02/16/2020,56
02/23/2020,41
03/01/2020,44
03/08/2020,70
03/15/2020,38
03/22/2020,20
03/29/2020,15
04/05/2020,15
04/12/2020,21
04/19/2020,14
04/26/2020,16
05/03/2020,17
05/10/2020,19
05/17/2020,24
05/24/2020,18
05/31/2020,21
06/07/2020,29
06/14/2020,25
06/21/2020,25
06/28/2020,27
07/05/2020,28
07/12/2020,31
07/19/2020,32
07/26/2020,28
08/02/2020,22
08/09/2020,25
08/16/2020,20
08/23/2020,20
08/30/2020,17
09/06/2020,19
09/13/2020,16
09/20/2020,16
09/27/2020,15
10/04/2020,13
10/11/2020,12
10/18/2020,16
10/25/2020,11
11/01/2020,10
11/08/2020,10
11/15/2020,17
11/22/2020,14
11/29/2020,13
12/06/2020,15
12/13/2020,19
12/20/2020,12
12/27/2020,17
01/03/2021,13
01/10/2021,18
01/17/2021,12
01/24/2021,16
01/31/2021,12
02/07/2021,12
02/14/2021,13
02/21/2021,12
02/28/2021,13
03/07/2021,16
03/14/2021,22
03/21/2021,21
03/28/2021,22
04/04/2021,21
04/11/2021,19
04/18/2021,20
04/25/2021,22
05/02/2021,24
05/09/2021,24
05/16/2021,29
05/23/2021,32
05/30/2021,38
06/06/2021,36
06/13/2021,35
06/20/2021,43